"id.study","id.es","citation","name","year","study","published","student","paid","online","design","ref.type","vig.1","vig","ref.r","es","es.var","mot","opp","bel","pre","report","external","internal"
"1","1","Orne and Scheibe (1964)","The contribution of nondeprivation factors in the production of sensory deprivation effects: The psychology of the ""panic button""",1964,1,"yes","yes","yes","no","between","cvp","01_p_tr1","N/A","single",0.553507866378813,0.191114937512398,-0.0645161290322581,2,1.19354838709677,0.225806451612903,0.714285714285714,0,0.666666666666667
"1","2","Orne and Scheibe (1964)","The contribution of nondeprivation factors in the production of sensory deprivation effects: The psychology of the ""panic button""",1964,1,"yes","yes","yes","no","between","cvp","01_p_ang","N/A","single",0.214158623197163,0.18460226145606,0.346153846153846,1.84615384615385,0.615384615384615,0.807692307692308,0.714285714285714,0,0.666666666666667
"1","3","Orne and Scheibe (1964)","The contribution of nondeprivation factors in the production of sensory deprivation effects: The psychology of the ""panic button""",1964,1,"yes","yes","yes","no","between","cvp","01_p_lin","N/A","single",0.782778331513112,0.198774211465979,0.5,2,1.10714285714286,0.678571428571429,0.714285714285714,0,0.666666666666667
"1","4","Orne and Scheibe (1964)","The contribution of nondeprivation factors in the production of sensory deprivation effects: The psychology of the ""panic button""",1964,1,"yes","yes","yes","no","between","cvp","01_p_wor","N/A","single",-0.214158623197163,0.18460226145606,0.148148148148148,1.46428571428571,1.25925925925926,0.703703703703704,0.714285714285714,0,0.666666666666667
"1","5","Orne and Scheibe (1964)","The contribution of nondeprivation factors in the production of sensory deprivation effects: The psychology of the ""panic button""",1964,1,"yes","yes","yes","no","between","cvp","01_p_rev","N/A","single",0.531527724470304,0.190518706605832,0.192307692307692,1.76923076923077,1.07692307692308,0.769230769230769,0.714285714285714,0,0.666666666666667
"1","6","Orne and Scheibe (1964)","The contribution of nondeprivation factors in the production of sensory deprivation effects: The psychology of the ""panic button""",1964,1,"yes","yes","yes","no","between","cvp","01_p_dig","N/A","single",0.095774647887324,0.183684983138266,0.34375,2.125,1,0.6875,0.714285714285714,0,0.666666666666667
"1","7","Orne and Scheibe (1964)","The contribution of nondeprivation factors in the production of sensory deprivation effects: The psychology of the ""panic button""",1964,1,"yes","yes","yes","no","between","cvp","01_p_tap","N/A","single",-0.643902010901448,0.193820908549891,0.791666666666667,1.70833333333333,1.29166666666667,1.04166666666667,0.714285714285714,0,0.666666666666667
"1","8","Orne and Scheibe (1964)","The contribution of nondeprivation factors in the production of sensory deprivation effects: The psychology of the ""panic button""",1964,1,"yes","yes","yes","no","between","cvp","01_p_tr2","N/A","single",0.915637691701143,0.204415473120413,0.333333333333333,1.62962962962963,0.814814814814815,1.03703703703704,0.714285714285714,0,0.666666666666667
"1","9","Orne and Scheibe (1964)","The contribution of nondeprivation factors in the production of sensory deprivation effects: The psychology of the ""panic button""",1964,1,"yes","yes","yes","no","between","cvp","01_p_vis","N/A","single",0.200898596269212,0.184464669708391,0.133333333333333,1.66666666666667,0.966666666666667,0.6,0.714285714285714,0,0.666666666666667
"1","10","Orne and Scheibe (1964)","The contribution of nondeprivation factors in the production of sensory deprivation effects: The psychology of the ""panic button""",1964,1,"yes","yes","yes","no","between","cvp","01_p_sim","N/A","single",1.09322821495263,0.213334361808031,0.344827586206897,1.82758620689655,0.724137931034483,0.689655172413793,0.714285714285714,0,0.666666666666667
